Name,Pattern and Knowledge discovery,Information Fusion,Scalability,Visualization
UCINET,0.44047619047619,0.333333333333333,0.414166666666667,0.557142857142857
NetMiner,0.654761904761905,0.888888888888889,0.665833333333333,0.685714285714286
Network workbench,0.332857142857143,0.666666666666667,0.330833333333333,0.857142857142857
ORA-LITE,0.844285714285714,0.666666666666667,0.5,1
PyGraphistry,0.333333333333333,1,1,1
Cytoscape,0.666666666666667,0.333333333333333,0.5825,0.928571428571429
Gephi,0.345238095238095,0.444444444444444,0.664166666666667,0.928571428571429
Graphviz,0.097619047619048,0.333333333333333,0.499166666666667,0.7
NetworkX,0.524285714285714,0.444444444444444,0.5825,0
Prefuse,0,0.444444444444444,0.583333333333333,0.857142857142857
JUNG,0.411904761904762,0.333333333333333,0.75,0.642857142857143
Pajek,0.475714285714286,0.555555555555555,0.4975,0.73
AllegroGraph,0.214285714285714,0.333333333333333,1,0
GraphX Apache Spark,0.15,0.444444444444444,0.916666666666667,0
Neo4j,0.475714285714286,0.555555555555555,1,1
Sparkling Graph,0.404761904761905,0.444444444444444,0.916666666666667,0
igraph,0.333333333333333,0.333333333333333,0.75,0.357142857142857
Circulo,0.380952380952381,0.333333333333333,0.75,0.357142857142857
SNAP,0.667142857142857,0.444444444444444,0.750833333333333,0
GUESS,0,0,0,0.828571428571429
